#	time(s)	count A	count B	count C	count D
2005	20.0500	1	-14		
2006	20.0600	1	-21		
2007	20.0700	1	-28		
2008	20.0800	2	-35		
2009	20.0900	2	-42		
2010	20.1000	2	-49		
2011	20.1100	2	-56		
2012	20.1200	2	-62		
2013	20.1300	2	-67		
2014	20.1400	2	-73		
2015	20.1500	2	-78		
2016	20.1600	2	-82		
2017	20.1700	2	-86		
2018	20.1800	2	-90		
2019	20.1900	2	-93		
2020	20.2000	3	-96		
2021	20.2100	3	-98		
2022	20.2200	3	-100		
2023	20.2300	3	-101		
2024	20.2400	4	-101		
2025	20.2500	4	-101		
2026	20.2600	4	-100		
2027	20.2700	4	-99		
2028	20.2800	4	-98		
2029	20.2900	4	-95		
2030	20.3000	4	-93		
2031	20.3100	4	-89		
2032	20.3200	5	-86		
2033	20.3300	5	-82		
2034	20.3400	5	-77		
2035	20.3500	5	-72		
2036	20.3600	5	-66		
2037	20.3700	6	-60		
2038	20.3800	6	-54		
2039	20.3900	6	-48		
2040	20.4000	6	-41		
2041	20.4100	6	-34		
2042	20.4200	6	-27		
2043	20.4300	6	-19		
2044	20.4400	6	-12		
2045	20.4500	6	-4		
2046	20.4600	6	4		
2047	20.4700	6	11		
2048	20.4800	6	19		
2049	20.4900	6	27		
2050	20.5000	6	34		
2051	20.5100	6	42		
2052	20.5200	6	49		
2053	20.5300	6	56		
2054	20.5400	6	63		
2055	20.5500	6	69		
2056	20.5600	6	76		
2057	20.5700	6	81		
2058	20.5800	6	87		
2059	20.5900	5	92		
2060	20.6000	5	96		
2061	20.6100	5	101		
2062	20.6200	5	104		
2063	20.6300	5	107		
2064	20.6400	4	110		
2065	20.6500	4	112		
2066	20.6600	4	114		
2067	20.6700	4	115		
2068	20.6800	4	115		
2069	20.6900	4	115		
2070	20.7000	4	114		
2071	20.7100	3	113		
2072	20.7200	3	112		
2073	20.7300	3	109		
2074	20.7400	3	106		
2075	20.7500	3	103		
2076	20.7600	2	99		
2077	20.7700	2	95		
2078	20.7800	2	90		
2079	20.7900	2	85		
2080	20.8000	2	79		
2081	20.8100	2	73		
2082	20.8200	2	67		
2083	20.8300	2	60		
2084	20.8400	2	53		
2085	20.8500	2	46		
2086	20.8600	2	39		
2087	20.8700	1	31		
2088	20.8800	1	23		
2089	20.8900	1	16		
2090	20.9000	1	8		
2091	20.9100	1	0		
2092	20.9200	1	-8		
2093	20.9300	1	-16		
2094	20.9400	1	-24		
2095	20.9500	2	-31		
2096	20.9600	2	-38		
2097	20.9700	2	-46		
2098	20.9800	2	-52		
2099	20.9900	2	-59		
2100	21.0000	2	-65		
2101	21.0100	2	-71		
2102	21.0200	2	-77		
2103	21.0300	2	-82		
2104	21.0400	2	-86		
2105	21.0500	2	-91		
2106	21.0600	2	-94		
2107	21.0700	3	-97		
2108	21.0800	3	-100		
2109	21.0900	3	-102		
2110	21.1000	3	-104		
2111	21.1100	4	-104		
2112	21.1200	4	-105		
2113	21.1300	4	-105		
2114	21.1400	4	-104		
2115	21.1500	4	-103		
2116	21.1600	4	-101		
2117	21.1700	4	-99		
2118	21.1800	5	-96		
2119	21.1900	5	-92		
2120	21.2000	5	-88		
2121	21.2100	5	-84		
2122	21.2200	5	-79		
2123	21.2300	6	-74		
2124	21.2400	6	-68		
2125	21.2500	6	-62		
2126	21.2600	6	-55		
2127	21.2700	6	-48		
2128	21.2800	6	-41		
2129	21.2900	6	-34		
2130	21.3000	6	-26		
2131	21.3100	6	-18		
2132	21.3200	6	-11		
2133	21.3300	6	-3		
2134	21.3400	6	5		
2135	21.3500	6	14		
2136	21.3600	6	21		
2137	21.3700	6	29		
2138	21.3800	6	37		
2139	21.3900	6	45		
2140	21.4000	6	52		
2141	21.4100	6	60		
2142	21.4200	6	66		
2143	21.4300	6	73		
2144	21.4400	6	80		
2145	21.4500	6	86		
2146	21.4600	6	91		
2147	21.4700	5	96		
2148	21.4800	5	101		
2149	21.4900	5	105		
2150	21.5000	5	108		
